Masked IDs,PC1,PC2,PC3,PC4,PC5
S00076,0.0282394,-0.0306655,-0.000602196,-0.00478843,-0.00945331
S00037,0.0287008,-0.0360109,0.00787186,0.00775914,0.00241262
S00202,0.0260303,-0.0208597,-0.00175457,0.00374401,-0.0106838
S00146,0.027708,-0.0282919,0.00394607,0.00323196,0.00375195
S00275,0.0300911,-0.031907,-3.61E-05,0.00530616,-0.00141567
S00401,0.0281566,-0.0263822,0.0045087,-0.00457078,0.00170138
S00251,0.0272005,-0.0445817,0.00349855,-0.00187566,-0.00483068
S00115,0.0264793,-0.0546446,-0.00379397,-0.00352055,-0.00148276
S00222,0.029299,-0.0256546,0.000504652,-0.000607907,-0.00721753
S00244,0.0279108,-0.0347662,0.00573535,-0.00185535,-0.00528287
S00214,0.0273886,-0.0404964,-0.00390308,-0.000220147,-0.0118748
S00123,0.0226146,-0.0552378,0.00660611,-4.41E-05,0.000946588
S00020,0.0291145,-0.0158285,0.000719071,-0.00554498,0.0195735
S00300,0.0289042,-0.0228739,-0.00798707,-4.77E-05,-0.0053709
S00276,0.0261578,-0.025357,0.00141288,0.00723583,-0.00153035
S00056,0.0290674,-0.0176077,0.00348496,0.00118456,-0.00167949
S00177,0.0294077,-0.0221516,0.00276934,0.000757284,0.00327748
S00302,0.0269559,-0.0292097,0.00347095,0.00483959,0.0107178
S00334,0.0293885,-0.025498,0.000701817,0.00358819,-0.00592703
S00053,0.0296028,-0.0315615,-0.00902652,0.00271233,0.00352287
S00006,0.0209551,-0.0109662,-0.00301776,0.00248403,-0.000582437
S00147,0.0293519,-0.0294963,-0.00141364,-0.00646738,0.000375707
S00096,0.0295373,-0.0327099,0.00560551,0.000673812,-0.000731784
S00219,0.0288877,-0.0330209,-0.0067674,0.00604056,0.00135315
S00370,0.0304905,-0.0125564,-0.0037347,-0.000253649,-0.00273946
S00046,0.0284357,-0.0323841,-0.00800512,-0.00122164,-0.00358059
S00145,0.0286808,-0.0273575,-0.00208437,-0.0182577,-0.00429382
S00154,0.0294627,-0.0292105,-0.00513687,-0.0179111,-0.00735393
S00178,0.0283248,-0.0234177,0.00172206,0.0081324,-0.000590809
S00373,0.0286309,-0.0139836,-0.00305084,0.0042638,0.00390743
S00119,0.0289357,-0.0251596,0.000328605,-0.00257814,-0.00440357
S00079,0.00375279,0.0984299,-0.00446259,0.00127604,-0.00513523
